Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,PSH,PSD,PSA,PSCH,PSCD,PSCA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,P>2.5,P<2.5,PC>2.5,PC<2.5,Avg>2.5,Avg<2.5,AvgC>2.5,AvgC<2.5,AHh,AHCh,PAHH,PAHA,PCAHH,PCAHA
D1,05/08/2022,Ein Frankfurt,Bayern Munich,1,6,8,23,2,10,5.84,5.13,1.52,6.24,5.3,1.48,5.82,4.96,1.49,5.97,5.08,1.47,1.42,3.02,1.39,3.16,1.39,2.94,1.39,3.03,1.25,1.25,1.88,2.04,2,1.93
D1,06/08/2022,Augsburg,Freiburg,0,4,10,19,2,7,3.53,3.59,2.17,3.51,3.54,2.2,3.39,3.51,2.15,3.46,3.51,2.14,1.92,1.99,1.92,1.98,1.88,1.93,1.87,1.95,0.25,0.25,2.05,1.88,2.04,1.88
D1,06/08/2022,Bochum,Mainz,1,2,16,13,3,6,3.34,3.43,2.32,3.37,3.43,2.3,3.23,3.42,2.26,3.31,3.43,2.23,1.96,1.94,1.9,2.01,1.93,1.89,1.86,1.97,0.25,0.25,1.93,1.99,1.95,1.97
D1,06/08/2022,M'gladbach,Hoffenheim,3,1,18,2,8,1,2.15,4.22,3.12,2.08,4.08,3.38,2.14,4.04,3.05,2.05,3.97,3.31,1.39,3.2,1.47,2.83,1.37,3.09,1.44,2.81,-0.25,-0.5,1.9,2.03,2.08,1.85
D1,06/08/2022,Union Berlin,Hertha,3,1,18,9,8,3,1.79,3.78,4.97,1.91,3.68,4.37,1.77,3.73,4.7,1.87,3.62,4.3,2.06,1.86,1.93,1.97,2,1.83,1.9,1.92,-0.75,-0.5,2.03,1.9,1.91,2.01
D1,06/08/2022,Wolfsburg,Werder Bremen,2,2,13,10,3,5,1.93,3.7,4.29,2.15,3.66,3.53,1.88,3.74,4.06,2.08,3.63,3.5,1.83,2.07,1.78,2.14,1.78,2.06,1.76,2.09,-0.5,-0.5,1.93,2,2.14,1.79
D1,06/08/2022,Dortmund,Leverkusen,1,0,13,8,4,3,2.08,4.22,3.28,2.1,4.02,3.35,2.06,4.12,3.19,2.05,3.98,3.26,1.41,3.09,1.45,2.95,1.39,3.01,1.42,2.83,-0.5,-0.5,2.08,1.85,2.09,1.85
D1,07/08/2022,Stuttgart,RB Leipzig,1,1,11,27,2,9,4.44,4.12,1.8,4.08,3.8,1.94,4.35,3.92,1.79,3.79,3.72,1.96,1.78,2.15,1.83,2.08,1.75,2.09,1.78,2.06,0.75,0.5,1.89,2.04,1.98,1.94
D1,07/08/2022,FC Koln,Schalke 04,3,1,30,6,10,2,1.75,4.28,4.58,2.11,3.64,3.64,1.73,4.14,4.48,2.01,3.67,3.65,1.57,2.55,1.8,2.11,1.54,2.47,1.72,2.14,-0.75,-0.5,1.94,1.98,2.11,1.83
D1,12/08/2022,Freiburg,Dortmund,1,3,16,16,7,7,3.15,3.83,2.26,3.07,3.73,2.34,3.06,3.74,2.25,2.98,3.7,2.3,1.63,2.4,1.63,2.41,1.58,2.4,1.58,2.4,0.25,0.25,1.94,1.98,1.89,2.03
D1,13/08/2022,Hertha,Ein Frankfurt,1,1,11,11,5,1,3.12,3.57,2.37,3.28,3.69,2.24,3.05,3.52,2.32,3.02,3.61,2.3,1.82,2.09,1.72,2.23,1.79,2.06,1.69,2.19,0.25,0.25,1.88,2.05,1.98,1.94
D1,13/08/2022,Hoffenheim,Bochum,3,2,24,11,13,5,1.61,4.5,5.48,1.6,4.61,5.43,1.58,4.47,5.38,1.58,4.5,5.29,1.52,2.65,1.53,2.63,1.51,2.59,1.5,2.62,-1,-1,1.99,1.93,1.97,1.95
D1,13/08/2022,Leverkusen,Augsburg,1,2,23,6,10,4,1.34,5.68,9.74,1.31,6.12,9.3,1.33,5.63,9.07,1.31,6.01,9.15,1.5,2.74,1.43,2.95,1.46,2.72,1.41,2.96,-1.5,-1.75,1.91,2.01,2.03,1.88
D1,13/08/2022,RB Leipzig,FC Koln,2,2,9,12,5,3,1.44,4.91,7.76,1.46,5.09,6.99,1.44,4.85,7.05,1.44,4.98,6.78,1.59,2.5,1.53,2.71,1.57,2.41,1.48,2.67,-1.25,-1.25,1.97,1.95,1.94,1.98
D1,13/08/2022,Werder Bremen,Stuttgart,2,2,5,14,3,7,2.36,3.62,3.1,2.32,3.66,3.15,2.33,3.59,2.99,2.3,3.6,3.04,1.69,2.29,1.7,2.27,1.67,2.24,1.65,2.24,-0.25,-0.25,2.05,1.88,2.01,1.92
