Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,PSH,PSD,PSA,PSCH,PSCD,PSCA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,P>2.5,P<2.5,PC>2.5,PC<2.5,Avg>2.5,Avg<2.5,AvgC>2.5,AvgC<2.5,AHh,AHCh,PAHH,PAHA,PCAHH,PCAHA
F1,16/08/2024,Le Havre,Paris SG,1,4,5,14,2,9,7.84,4.94,1.42,7.8,4.76,1.43,7.41,4.86,1.42,7.3,4.73,1.43,1.65,2.36,1.71,2.23,1.63,2.33,1.69,2.2,1.25,1.25,1.97,1.95,1.95,1.97
F1,17/08/2024,Brest,Marseille,1,5,7,7,5,5,2.96,3.37,2.51,3.3,3.34,2.35,2.88,3.4,2.46,3.16,3.32,2.34,1.88,2,2.07,1.85,1.87,1.97,2,1.82,0,0.25,2.13,1.8,1.91,2.02
F1,17/08/2024,Reims,Lille,0,2,2,21,0,6,3.36,3.38,2.27,3.03,3.26,2.56,3.33,3.41,2.2,2.87,3.28,2.55,1.97,1.92,2.2,1.74,1.95,1.88,2.07,1.78,0.25,0,1.94,1.96,2.14,1.81
F1,17/08/2024,Monaco,St Etienne,1,0,13,7,6,4,1.51,4.64,6.26,1.38,5.55,7.85,1.5,4.64,6.1,1.35,5.43,7.95,1.59,2.45,1.45,2.89,1.58,2.42,1.44,2.81,-1,-1.5,1.81,2.09,2,1.93
F1,18/08/2024,Auxerre,Nice,2,1,16,9,7,2,3.22,3.18,2.45,3,3.47,2.46,3.14,3.21,2.39,2.97,3.3,2.46,2.23,1.71,1.94,1.96,2.19,1.69,2.01,1.83,0.25,0.25,1.83,2.09,1.82,2.13
F1,18/08/2024,Angers,Lens,0,1,4,10,3,5,5.66,3.96,1.65,6.84,4.04,1.57,5.35,3.92,1.65,6.48,3.93,1.57,1.9,1.99,2.03,1.88,1.88,1.96,2.03,1.81,0.75,1,2.08,1.83,1.94,1.98
F1,18/08/2024,Montpellier,Strasbourg,1,1,7,11,5,4,2.12,3.35,3.8,2.1,3.63,3.6,2.08,3.39,3.64,2.08,3.53,3.54,2,1.89,1.72,2.23,1.96,1.87,1.78,2.07,-0.5,-0.25,2.12,1.79,1.83,2.11
F1,18/08/2024,Toulouse,Nantes,0,0,7,6,3,2,2.11,3.29,3.92,2.12,3.34,3.87,2.08,3.3,3.75,2.08,3.33,3.75,2.28,1.68,2.17,1.76,2.23,1.67,2.15,1.72,-0.25,-0.25,1.8,2.12,1.82,2.12
F1,18/08/2024,Rennes,Lyon,3,0,22,16,8,2,2.47,3.38,3.01,2.35,3.45,3.21,2.36,3.45,2.95,2.33,3.42,3.08,1.86,2.04,1.95,1.95,1.8,2.03,1.89,1.94,-0.25,-0.25,2.13,1.81,2.03,1.9
F1,23/08/2024,Paris SG,Montpellier,6,0,21,6,10,3,1.25,6.94,10.85,1.23,7.15,12.02,1.23,6.93,11.18,1.21,6.96,11.63,1.33,3.43,1.36,3.25,1.32,3.35,1.33,3.26,-2,-2,2.07,1.82,2.04,1.88
F1,24/08/2024,Lyon,Monaco,0,2,2,15,1,4,2.62,3.73,2.61,2.79,3.73,2.49,2.51,3.75,2.61,2.71,3.72,2.46,1.53,2.6,1.54,2.6,1.5,2.56,1.51,2.59,0,0,1.95,1.95,2.08,1.85
