Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,PSH,PSD,PSA,PSCH,PSCD,PSCA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,P>2.5,P<2.5,PC>2.5,PC<2.5,Avg>2.5,Avg<2.5,AvgC>2.5,AvgC<2.5,AHh,AHCh,PAHH,PAHA,PCAHH,PCAHA
SP1,15/08/2024,Ath Bilbao,Getafe,1,1,7,9,4,2,1.48,4.12,8.24,1.61,3.71,7.18,1.51,4.04,7.61,1.59,3.63,6.96,2.34,1.65,2.61,1.54,2.24,1.67,2.51,1.54,-1,-1,1.86,2.05,2.17,1.76
SP1,15/08/2024,Betis,Girona,1,1,19,13,4,2,2.41,3.42,3.07,2.35,3.43,3.21,2.4,3.38,3.02,2.35,3.37,3.1,1.94,1.94,1.94,1.96,1.93,1.9,1.94,1.89,-0.25,-0.25,2.08,1.84,2.03,1.89
SP1,16/08/2024,Celta,Alaves,2,1,6,10,4,2,2.05,3.37,4.12,2.15,3.27,3.89,2.03,3.32,4.02,2.1,3.24,3.86,2.31,1.68,2.4,1.63,2.25,1.67,2.31,1.63,-0.5,-0.25,2.06,1.88,1.83,2.1
SP1,16/08/2024,Las Palmas,Sevilla,2,2,13,16,5,5,2.87,3.23,2.71,2.65,3.25,2.93,2.83,3.21,2.65,2.66,3.19,2.83,2.22,1.73,2.17,1.76,2.18,1.71,2.14,1.73,0,0,2.02,1.9,1.87,2.07
SP1,17/08/2024,Osasuna,Leganes,1,1,16,10,5,4,1.89,3.47,4.57,1.88,3.28,5.19,1.88,3.44,4.48,1.87,3.26,4.92,2.37,1.63,2.9,1.47,2.34,1.62,2.69,1.48,-0.5,-0.5,1.9,2,1.88,2.04
SP1,17/08/2024,Valencia,Barcelona,1,2,6,18,1,8,4.89,3.85,1.75,4.26,3.72,1.9,4.76,3.87,1.74,4.3,3.74,1.84,1.85,2.05,1.89,2.01,1.82,2.02,1.84,1.99,0.75,0.5,1.93,1.97,2.02,1.91
SP1,18/08/2024,Sociedad,Vallecano,1,2,11,12,5,5,1.61,3.72,6.8,1.79,3.36,5.68,1.59,3.74,6.63,1.77,3.38,5.37,2.41,1.61,2.8,1.48,2.34,1.61,2.58,1.51,-1,-0.75,2.12,1.78,2.08,1.85
SP1,18/08/2024,Mallorca,Real Madrid,1,1,12,13,5,4,7.77,4.43,1.46,9.35,4.7,1.4,7.33,4.34,1.47,8.64,4.85,1.38,1.93,1.96,1.81,2.07,1.92,1.91,1.76,2.07,1,1.25,2.14,1.77,1.97,1.95
SP1,19/08/2024,Valladolid,Espanol,1,0,12,10,3,2,2.39,3.07,3.47,2.33,2.96,3.83,2.36,3.1,3.34,2.3,2.9,3.71,2.41,1.62,2.89,1.47,2.33,1.61,2.77,1.45,-0.25,-0.25,2.02,1.88,1.96,1.96
SP1,19/08/2024,Villarreal,Ath Madrid,2,2,8,10,3,5,3.43,3.68,2.12,3.52,3.57,2.16,3.33,3.67,2.12,3.48,3.57,2.08,1.68,2.27,1.85,2.06,1.7,2.19,1.78,2.07,0.25,0.25,2.07,1.85,2.06,1.87
