utc,note,remaining,used,last_cost
2026-09-16T03:50:20+00:00,check,499,1,0
2026-09-16T08:51:32+00:00,LaLiga slate x6,496,4,3
2026-09-16T09:46:17+00:00,PL weekly x10,493,7,3
2026-09-16T09:46:17+00:00,LaLiga weekly x16,490,10,3
2026-09-16T09:46:17+00:00,Championship weekly x12,487,13,3
2026-09-17T16:59:02+00:00,LaLiga late x1,486,14,1
2026-09-18T17:53:23+00:00,PL late x1,485,15,1
2026-09-18T17:53:23+00:00,LaLiga late x1,484,16,1
2026-09-18T17:53:23+00:00,Championship late x1,483,17,1
2026-09-19T09:30:14+00:00,PL late x1,482,18,1
2026-09-19T09:30:14+00:00,LaLiga late x1,481,19,1
2026-09-19T09:30:14+00:00,Championship late x3,480,20,1
2026-09-19T13:20:05+00:00,PL late x3,479,21,1
2026-09-19T13:20:05+00:00,LaLiga late x1,478,22,1
2026-09-19T13:20:06+00:00,Championship late x6,477,23,1
2026-09-19T16:39:08+00:00,LaLiga late x1,476,24,1
